file,line_no,nearest_def,is_whitelisted_endpoint,whitelist_decorator,code
smriti_retail_os/platform_api.py,449,"def execute_restore(file_name, confirm_text, password):",True,@frappe.whitelist(),}).insert(ignore_permissions=True)
smriti_retail_os/platform_api.py,511,"def execute_restore(file_name, confirm_text, password):",True,@frappe.whitelist(),}).insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,151,def log(msg):,True,@frappe.whitelist(),"# Instead, use frappe.flags.ignore_permissions=True selectively on each doc."
smriti_retail_os/setup_wizard_api.py,165,def log(msg):,True,@frappe.whitelist(),admin_doc.save(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,186,def log(msg):,True,@frappe.whitelist(),"frappe.get_doc({""doctype"": ""Warehouse Type"", ""name"": w_type}).insert(ignore_permissions=True)"
smriti_retail_os/setup_wizard_api.py,201,def log(msg):,True,@frappe.whitelist(),co.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,210,def log(msg):,True,@frappe.whitelist(),co.save(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,254,def log(msg):,True,@frappe.whitelist(),addr.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,280,def log(msg):,True,@frappe.whitelist(),addr.save(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,297,def log(msg):,True,@frappe.whitelist(),pw.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,305,def log(msg):,True,@frappe.whitelist(),wh.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,322,def log(msg):,True,@frappe.whitelist(),"frappe.get_doc({""doctype"": ""Customer Group"", ""customer_group_name"": ""All Customer Groups"", ""is_group"": 1}).insert(ignore_permissions=True)"
smriti_retail_os/setup_wizard_api.py,330,def log(msg):,True,@frappe.whitelist(),}).insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,338,def log(msg):,True,@frappe.whitelist(),"frappe.get_doc({""doctype"": ""Territory"", ""territory_name"": ""All Territories"", ""is_group"": 1}).insert(ignore_permissions=True)"
smriti_retail_os/setup_wizard_api.py,346,def log(msg):,True,@frappe.whitelist(),}).insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,355,def log(msg):,True,@frappe.whitelist(),cust.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,372,def log(msg):,True,@frappe.whitelist(),ta.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,387,def log(msg):,True,@frappe.whitelist(),acc.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,415,def log(msg):,True,@frappe.whitelist(),tpl.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,444,def log(msg):,True,@frappe.whitelist(),tpl.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,466,def log(msg):,True,@frappe.whitelist(),tpl.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,495,def log(msg):,True,@frappe.whitelist(),acc.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,506,def log(msg):,True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,551,def log(msg):,True,@frappe.whitelist(),mop_doc.save(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,562,def log(msg):,True,@frappe.whitelist(),cc.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,582,def log(msg):,True,@frappe.whitelist(),acc.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,616,def log(msg):,True,@frappe.whitelist(),pp.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,666,def log(msg):,True,@frappe.whitelist(),pp.save(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,715,def log(msg):,True,@frappe.whitelist(),scs.insert(ignore_permissions=True)
smriti_retail_os/setup_wizard_api.py,729,def log(msg):,True,@frappe.whitelist(),scs.save(ignore_permissions=True)
smriti_retail_os/sizewise_invoice_api.py,527,def save_sizewise_invoice(payload):,True,@frappe.whitelist(),si.save(ignore_permissions=True)
smriti_retail_os/psv_service.py,118,"def create_psv_transaction(psa, transaction_type, items, company=None, reference_doctype=None, reference_name=None, remarks=None, posting_date=None, opening_import_batch=None):",False,,doc.insert(ignore_permissions=True)
smriti_retail_os/psv_service.py,150,"def process_sales_invoice_submit(doc, method=None):",False,,}).insert(ignore_permissions=True)
smriti_retail_os/psv_service.py,169,"def process_sales_invoice_cancel(doc, method=None):",False,,}).insert(ignore_permissions=True)
smriti_retail_os/create_cycle.py,15,def run():,False,,hsn.insert(ignore_permissions=True)
smriti_retail_os/create_cycle.py,30,def run():,False,,item.insert(ignore_permissions=True)
smriti_retail_os/psv_integration.py,253,"def _create_dn_exception_record(doc, psa, exception_type, description):",False,,}).insert(ignore_permissions=True)
smriti_retail_os/backup_api.py,116,"def log_audit_event(event_type, message):",False,,}).insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,481,def import_item_master(rows_json):,True,@frappe.whitelist(),ig.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,538,def import_item_master(rows_json):,True,@frappe.whitelist(),variant.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,588,def import_item_master(rows_json):,True,@frappe.whitelist(),var_doc.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,675,def _ensure_uom(uom_name):,True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,694,def _ensure_hsn_code(hsn_code):,True,@frappe.whitelist(),hsn_doc.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,800,"def _ensure_master_value(doctype_name, value):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,815,"def _get_or_create_template(style_code, item_name, item_group, brand, mrp, cost,",True,@frappe.whitelist(),item.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,821,"def _get_or_create_template(style_code, item_name, item_group, brand, mrp, cost,",True,@frappe.whitelist(),b.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,834,"def _get_or_create_template(style_code, item_name, item_group, brand, mrp, cost,",True,@frappe.whitelist(),ig.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,879,"def _get_or_create_template(style_code, item_name, item_group, brand, mrp, cost,",True,@frappe.whitelist(),item.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,898,"def _get_or_create_template(style_code, item_name, item_group, brand, mrp, cost,",True,@frappe.whitelist(),item.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,908,def _ensure_item_attribute(attribute_name):,True,@frappe.whitelist(),attr.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,935,"def _ensure_attribute_value(attribute, value):",True,@frappe.whitelist(),attr_doc.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,969,"def _upsert_item_price(item_code, price_list, rate):",True,@frappe.whitelist(),pl.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,985,"def _upsert_item_price(item_code, price_list, rate):",True,@frappe.whitelist(),ip.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1182,"def create_style_with_variants(base_details, sizes_config):",True,@frappe.whitelist(),template.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1262,"def create_style_with_variants(base_details, sizes_config):",True,@frappe.whitelist(),var.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1274,"def create_style_with_variants(base_details, sizes_config):",True,@frappe.whitelist(),var.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1294,"def create_style_with_variants(base_details, sizes_config):",True,@frappe.whitelist(),var_doc.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1351,def delete_style_and_variants(style_code):,True,@frappe.whitelist(),"frappe.delete_doc(""Item"", variant, ignore_permissions=True, force=True)"
smriti_retail_os/item_master_api.py,1359,def delete_style_and_variants(style_code):,True,@frappe.whitelist(),"frappe.delete_doc(""Item"", style_code, ignore_permissions=True, force=True)"
smriti_retail_os/item_master_api.py,1544,def import_pivot_item_master(styles_json):,True,@frappe.whitelist(),template.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1596,def import_pivot_item_master(styles_json):,True,@frappe.whitelist(),var.insert(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1608,def import_pivot_item_master(styles_json):,True,@frappe.whitelist(),var.save(ignore_permissions=True)
smriti_retail_os/item_master_api.py,1628,def import_pivot_item_master(styles_json):,True,@frappe.whitelist(),var_doc.save(ignore_permissions=True)
smriti_retail_os/psv_upload_service.py,218,"def _fail_upload(doc, errors: list):",False,,doc.save(ignore_permissions=True)
smriti_retail_os/psv_upload_service.py,270,"def _commit_to_ledger(doc, parsed_rows: list):",False,,doc.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,230,"def sync_price_list_rate(item_code, price_list, rate, uom):",False,,pl.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,242,"def sync_price_list_rate(item_code, price_list, rate, uom):",False,,ip.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,250,"def sync_price_list_rate(item_code, price_list, rate, uom):",False,,ip.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,293,"def sync_customer_address(doc, method):",False,,addr.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,308,"def sync_customer_address(doc, method):",False,,addr.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,345,"def sync_customer_address(doc, method):",False,,addr.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,360,"def sync_customer_address(doc, method):",False,,addr.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,389,"def sync_supplier_address_and_credit_days(doc, method):",False,,s.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,396,"def sync_supplier_address_and_credit_days(doc, method):",False,,s.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,428,"def sync_supplier_address_and_credit_days(doc, method):",False,,addr.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,443,"def sync_supplier_address_and_credit_days(doc, method):",False,,addr.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,480,"def sync_supplier_address_and_credit_days(doc, method):",False,,addr.save(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,495,"def sync_supplier_address_and_credit_days(doc, method):",False,,addr.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,515,"def sync_supplier_address_and_credit_days(doc, method):",False,,ptt.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,648,"def after_address_save(doc, method=None):",False,,log_doc.insert(ignore_permissions=True)
smriti_retail_os/hooks_logic.py,679,"def release_reserved_budget_on_trash(doc, method=None):",False,,campaign.save(ignore_permissions=True)
smriti_retail_os/loyalty_api.py,166,"def save_loyalty_scheme(doc_name=None, loyalty_program_name=None, conversion_factor=1.0, auto_opt_in=1, min_spent=0, collection_factor=1.0, tier_name=""Regular""):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/setup.py,56,def create_smriti_audit_event_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,94,def create_smriti_attribute_layout_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,178,def create_smriti_company_settings_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,205,def create_reporting_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,258,def create_reporting_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,271,def create_reporting_doctypes():,False,,dt.save(ignore_permissions=True)
smriti_retail_os/setup.py,314,def create_reporting_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,881,def seed_report_templates():,False,,doc.save(ignore_permissions=True)
smriti_retail_os/setup.py,902,def seed_report_templates():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,943,def create_audit_log_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,994,def create_master_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1015,def seed_master_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1154,def seed_master_doctypes():,False,,doc.save(ignore_permissions=True)
smriti_retail_os/setup.py,1162,def seed_master_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1187,def backup_and_seed_existing_data():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1278,def create_smriti_key_custodian_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1342,def create_smriti_print_job_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1378,def create_smriti_loyalty_tier_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1421,def create_smriti_loyalty_rule_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1452,def create_smriti_settings_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1487,def create_smriti_cge_settings_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1511,def create_smriti_barcode_settings_doctype():,False,,settings.save(ignore_permissions=True)
smriti_retail_os/setup.py,1564,def create_smriti_barcode_scan_event_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1609,def create_smriti_barcode_telemetry_snapshot_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1658,def create_smriti_trial_health_snapshot_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1718,def seed_trial_health_formula():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1760,def create_smriti_wallet_ledger_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1799,def create_smriti_coupon_campaign_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1834,def create_smriti_liability_snapshot_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1872,def create_smriti_rule_evaluation_log_doctype():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1965,def create_udne_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,1993,def create_udne_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,2024,def create_udne_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,2064,def create_udne_doctypes():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,2079,def _seed_root_item_group():,False,,}).insert(ignore_permissions=True)
smriti_retail_os/setup.py,2097,def setup_smriti_retail_os():,False,,role.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3020,def setup_smriti_retail_os():,False,,ws.save(ignore_permissions=True)
smriti_retail_os/setup.py,3033,def setup_smriti_retail_os():,False,,ws.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3181,def setup_smriti_retail_os():,False,,p.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3217,def _setup_module_profiles():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3243,def _setup_module_profiles():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3425,def patch_company_tax_invoice(print_format_name=None):,False,,pf.save(ignore_permissions=True)
smriti_retail_os/setup.py,3450,def create_default_admin_account():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3488,def seed_retail_defaults():,False,,addr.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3503,def seed_retail_defaults():,False,,cg_parent.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3508,def seed_retail_defaults():,False,,cg_doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3518,def seed_retail_defaults():,False,,terr_parent.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3523,def seed_retail_defaults():,False,,terr_doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3531,def seed_retail_defaults():,False,,cust.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3544,def seed_retail_defaults():,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/setup.py,3591,def seed_retail_defaults():,False,,mop_doc.save(ignore_permissions=True)
smriti_retail_os/inventory_api.py,81,"def get_or_create_batch(item_code, expiry_date=None):",False,,batch_doc.insert(ignore_permissions=True)
smriti_retail_os/inventory_api.py,91,"def get_or_create_batch(item_code, expiry_date=None):",False,,batch_doc.insert(ignore_permissions=True)
smriti_retail_os/inventory_api.py,207,"def create_grn(supplier, invoice_no, items, warehouse=None):",True,@frappe.whitelist(),pr.insert(ignore_permissions=True)
smriti_retail_os/inventory_api.py,262,"def create_stock_transfer(from_warehouse, to_warehouse, items):",True,@frappe.whitelist(),se.insert(ignore_permissions=True)
smriti_retail_os/inventory_api.py,345,"def create_stock_adjustment(items, reason):",True,@frappe.whitelist(),se.insert(ignore_permissions=True)
smriti_retail_os/inventory_api.py,400,def create_stock_audit(items):,True,@frappe.whitelist(),sr.insert(ignore_permissions=True)
smriti_retail_os/billing_api.py,181,"def hold_bill(cashier, customer, items, remarks=None, sales_staff=None):",True,@frappe.whitelist(),pos_invoice.save(ignore_permissions=True)
smriti_retail_os/billing_api.py,540,"def submit_bill(cashier, customer, items, payments, loyalty_points=0, invoice_name=None, remarks=None, sales_staff=None, on_credit=0, tax_override=""Default"", billing_address=None, shipping_address=None, billing_session_id=None, bill_discount_percentage=0.0, bill_discount_amount=0.0, manager_pin=None):",True,@frappe.whitelist(),invoice_doc.save(ignore_permissions=True)
smriti_retail_os/billing_api.py,542,"def submit_bill(cashier, customer, items, payments, loyalty_points=0, invoice_name=None, remarks=None, sales_staff=None, on_credit=0, tax_override=""Default"", billing_address=None, shipping_address=None, billing_session_id=None, bill_discount_percentage=0.0, bill_discount_amount=0.0, manager_pin=None):",True,@frappe.whitelist(),invoice_doc.insert(ignore_permissions=True)
smriti_retail_os/billing_api.py,554,"def submit_bill(cashier, customer, items, payments, loyalty_points=0, invoice_name=None, remarks=None, sales_staff=None, on_credit=0, tax_override=""Default"", billing_address=None, shipping_address=None, billing_session_id=None, bill_discount_percentage=0.0, bill_discount_amount=0.0, manager_pin=None):",True,@frappe.whitelist(),"frappe.delete_doc(""POS Invoice"", invoice_name, ignore_permissions=True)"
smriti_retail_os/billing_api.py,613,"def process_post_billing_tasks(invoice_name, doctype, payments_list, company):",True,@frappe.whitelist(),pe.insert(ignore_permissions=True)
smriti_retail_os/billing_api.py,850,"def validate_manager_override(pin, action_type, invoice_name=None):",True,@frappe.whitelist(),}).insert(ignore_permissions=True)
smriti_retail_os/billing_api.py,942,def create_return_invoice(invoice_name):,True,@frappe.whitelist(),return_doc.insert(ignore_permissions=True)
smriti_retail_os/billing_api.py,1057,"def create_custom_sales_return(customer, items, return_against_invoice=None, remarks=None, company=None, draft=0):",True,@frappe.whitelist(),return_doc.insert(ignore_permissions=True)
smriti_retail_os/billing_api.py,1140,"def update_sales_return(name, items, remarks=None, draft=0):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/billing_api.py,1188,"def delete_sales_return(name, manager_pin=None):",True,@frappe.whitelist(),"frappe.delete_doc(""Sales Invoice"", name, ignore_permissions=True)"
smriti_retail_os/sales_order_api.py,125,"def create_sales_order(customer, items, delivery_date=None, remarks=None):",True,@frappe.whitelist(),so.insert(ignore_permissions=True)
smriti_retail_os/psv_migration_service.py,54,"def create_reversal_entry(original_name, reason):",True,@frappe.whitelist(),rev.insert(ignore_permissions=True)
smriti_retail_os/psv_migration_service.py,136,def migrate_to_new_psv_partner(dry_run=0):,True,@frappe.whitelist(),partner_doc.insert(ignore_permissions=True)
smriti_retail_os/psv_migration_service.py,199,def migrate_to_new_psv_partner(dry_run=0):,True,@frappe.whitelist(),ledger_doc.insert(ignore_permissions=True)
smriti_retail_os/reports_api.py,1482,def run(self):,True,@frappe.whitelist(),log_doc.insert(ignore_permissions=True)
smriti_retail_os/reports_api.py,1529,def run(self):,True,@frappe.whitelist(),explain_log.insert(ignore_permissions=True)
smriti_retail_os/reports_api.py,2219,"def save_smriti_saved_view(view_name, report_key, applied_filters_json, visible_columns_json, is_default=0):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/reports_api.py,2240,def delete_smriti_saved_view(view_name):,True,@frappe.whitelist(),"frappe.delete_doc(""SMRITI Saved View"", view_name, ignore_permissions=True)"
smriti_retail_os/reports_api.py,2345,"def log_explain_audit_event(event_type, report, fieldname, recovered_expression):",True,@frappe.whitelist(),log_doc.insert(ignore_permissions=True)
smriti_retail_os/reports_api.py,2538,"def export_smriti_report(report_key, filters=None, format_type=""csv""):",True,@frappe.whitelist(),log_doc.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,73,"def quick_create_item(item_name, barcode, rate, mrp, gst_percentage, style_code=None):",True,@frappe.whitelist(),hsn_doc.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,94,"def quick_create_item(item_name, barcode, rate, mrp, gst_percentage, style_code=None):",True,@frappe.whitelist(),item.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,101,"def quick_create_item(item_name, barcode, rate, mrp, gst_percentage, style_code=None):",True,@frappe.whitelist(),item.save(ignore_permissions=True)
smriti_retail_os/master_api.py,125,"def create_item_price(item_code, price_list, rate):",True,@frappe.whitelist(),pl.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,141,"def create_item_price(item_code, price_list, rate):",True,@frappe.whitelist(),ip.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,167,"def quick_create_customer(customer_name, mobile_no):",True,@frappe.whitelist(),cg.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,180,"def quick_create_customer(customer_name, mobile_no):",True,@frappe.whitelist(),t.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,185,"def quick_create_customer(customer_name, mobile_no):",True,@frappe.whitelist(),cust.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,218,"def quick_create_supplier(supplier_name, mobile_no=None):",True,@frappe.whitelist(),sg.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,225,"def quick_create_supplier(supplier_name, mobile_no=None):",True,@frappe.whitelist(),supp.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,248,"def save_supplier_on_fly(supplier_name, supplier_group, supplier_type, name=None):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/master_api.py,262,"def save_supplier_on_fly(supplier_name, supplier_group, supplier_type, name=None):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,444,def save_supplier_detail(**kwargs):,True,@frappe.whitelist(),sg.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,446,def save_supplier_detail(**kwargs):,True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/master_api.py,459,def save_supplier_detail(**kwargs):,True,@frappe.whitelist(),contact.save(ignore_permissions=True)
smriti_retail_os/master_api.py,471,def save_supplier_detail(**kwargs):,True,@frappe.whitelist(),contact.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,512,"def save_customer_detail(customer_name, customer_type, customer_group, territory, mobile_no, email_id, tax_id, gst_category, pan, custom_address_text, custom_shipping_address_text=None, custom_tax_inclusive_override=""Default"", name=None):",True,@frappe.whitelist(),cg.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,517,"def save_customer_detail(customer_name, customer_type, customer_group, territory, mobile_no, email_id, tax_id, gst_category, pan, custom_address_text, custom_shipping_address_text=None, custom_tax_inclusive_override=""Default"", name=None):",True,@frappe.whitelist(),t.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,519,"def save_customer_detail(customer_name, customer_type, customer_group, territory, mobile_no, email_id, tax_id, gst_category, pan, custom_address_text, custom_shipping_address_text=None, custom_tax_inclusive_override=""Default"", name=None):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/master_api.py,664,"def create_item_tax_template(title, gst_rate, taxes):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,704,"def create_brand(brand_name, brand_description=None):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/master_api.py,718,def delete_brand(brand_name):,True,@frappe.whitelist(),"frappe.delete_doc(""Brand"", brand_name, ignore_permissions=True)"
smriti_retail_os/shift_api.py,401,"def _validate_manager_pin(pin, action_type, reference_name=None):",True,@frappe.whitelist(),}).insert(ignore_permissions=True)
smriti_retail_os/psv_snapshot_service.py,273,def generate_snapshots():,True,@frappe.whitelist(),snap.insert(ignore_permissions=True)
smriti_retail_os/psv_snapshot_service.py,289,def generate_snapshots():,True,@frappe.whitelist(),settings.save(ignore_permissions=True)
smriti_retail_os/company_api.py,188,"def save_company_settings(company=None, settings=None):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/company_api.py,194,"def save_company_settings(company=None, settings=None):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/company_api.py,353,"def save_store_address(company=None, address_data=None):",True,@frappe.whitelist(),addr.save(ignore_permissions=True)
smriti_retail_os/company_api.py,373,"def ensure_company_settings(doc, method=None):",True,@frappe.whitelist(),new_doc.insert(ignore_permissions=True)
smriti_retail_os/company_api.py,416,"def create_company(company_name, abbr, country=""India"", default_currency=""INR"", gstin=None):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/company_api.py,458,"def update_company(company, company_name=None, gstin=None, default_currency=None):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/company_api.py,503,def delete_company(company):,True,@frappe.whitelist(),"CompanyRepository.delete_doc(_SETTINGS_DOCTYPE, settings_name, ignore_permissions=True)"
smriti_retail_os/company_api.py,505,def delete_company(company):,True,@frappe.whitelist(),"CompanyRepository.delete_doc(""Company"", company, ignore_permissions=True)"
smriti_retail_os/company_api.py,687,"def save_item_attributes(company=None, attributes=None):",True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/company_api.py,706,"def save_item_attributes(company=None, attributes=None):",True,@frappe.whitelist(),audit_doc.insert(ignore_permissions=True)
smriti_retail_os/company_api.py,761,def reset_item_attributes(company=None):,True,@frappe.whitelist(),audit_doc.insert(ignore_permissions=True)
smriti_retail_os/key_recovery_service.py,62,def send_verification_email(email):,False,,doc.save(ignore_permissions=True)
smriti_retail_os/key_recovery_service.py,74,def send_verification_email(email):,False,,doc.insert(ignore_permissions=True)
smriti_retail_os/key_recovery_service.py,105,"def confirm_verification(email, otp):",False,,doc.save(ignore_permissions=True)
smriti_retail_os/key_recovery_service.py,155,def send_recovery_fragments():,False,,doc.save(ignore_permissions=True)
smriti_retail_os/security_api.py,176,"def save_user(email, first_name, last_name=None, roles=None, role_profile=None):",True,@frappe.whitelist(),user.insert(ignore_permissions=True)
smriti_retail_os/security_api.py,195,"def save_user(email, first_name, last_name=None, roles=None, role_profile=None):",True,@frappe.whitelist(),user.save(ignore_permissions=True)
smriti_retail_os/security_api.py,408,def create_role(role_name):,True,@frappe.whitelist(),doc.insert(ignore_permissions=True)
smriti_retail_os/security_api.py,420,def delete_role(role_name):,True,@frappe.whitelist(),"SecurityRepository.delete_doc(""Role"", role_name, ignore_permissions=True)"
smriti_retail_os/security_api.py,469,"def save_role_profile(name, roles):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
smriti_retail_os/security_api.py,481,def delete_role_profile(name):,True,@frappe.whitelist(),"SecurityRepository.delete_doc(""Role Profile"", name, ignore_permissions=True)"
smriti_retail_os/security_api.py,639,"def save_workflow(name, document_type, is_active, states, transitions):",True,@frappe.whitelist(),doc.save(ignore_permissions=True)
